AlerteID,PortefeuilleID,ClientID,DateAlerte,TypeAlerte,Severite,Statut,Description,ValeurMesure,SeuilAlerte,DateResolution
ALT00001,PF00115,CLI0095,2025-11-23,Concentration Secteur,Haute,En traitement,Front remettre revoir donc cheveu parce que transformer assurer raison beaux côte.,-23.81,7.34,2026-02-14
ALT00002,PF00075,CLI0066,2025-09-28,Limite Exposition Dépassée,Faible,Ouverte,Arrivée arme grandir y parvenir ombre arrêter frapper madame.,24.91,3.76,2025-12-09
ALT00003,PF00092,CLI0071,2025-02-28,KYC Expiré,Critique,Ouverte,Croire vous saint main appel aide recevoir public.,5.04,-8.78,2026-05-18
ALT00004,PF00003,CLI0094,2025-10-01,Drawdown Excessif,Critique,En traitement,Minute vie service brûler complet elle fumée abri usage vraiment espace verre.,-17.16,-9.5,2025-12-11
ALT00005,PF00013,CLI0040,2024-10-29,Limite Exposition Dépassée,Modérée,En traitement,Odeur mort inutile lui long écarter conversation.,9.05,2.24,2025-12-17
ALT00006,PF00033,CLI0086,2025-09-17,KYC Expiré,Modérée,Ouverte,Interrompre parole angoisse vision imposer hôtel garçon elle servir couleur.,-21.53,6.86,2025-10-14
ALT00007,PF00018,CLI0042,2026-04-22,Drawdown Excessif,Modérée,Ouverte,Portier joie mien joie chacun problème.,16.45,8.8,2026-02-15
ALT00008,PF00148,CLI0007,2024-11-24,Drawdown Excessif,Haute,Ignorée,Famille suffire naturellement ramener cou moi cesse soudain ceci souhaiter vers cou marier.,-12.82,8.95,2025-06-23
ALT00009,PF00053,CLI0098,2025-07-09,Instrument Suspendu,Modérée,Ignorée,Consulter lequel conduire assurer matière doux condition yeux roman.,15.56,-14.44,2025-11-22
ALT00010,PF00119,CLI0026,2025-04-30,KYC Expiré,Critique,En traitement,Construire droite joie ce membre révéler convenir compagnie sonner scène face.,18.51,3.04,2026-02-08
ALT00011,PF00026,CLI0008,2026-02-12,Limite Exposition Dépassée,Faible,Ignorée,Pouvoir long apporter croiser peuple corps montagne accompagner remplir après.,-18.93,9.9,2026-02-20
ALT00012,PF00099,CLI0069,2024-06-27,Dépassement VaR,Faible,Ouverte,Surprendre risquer auprès pointe qui rire hasard effacer chaîne semaine.,29.97,-4.75,2026-03-04
ALT00013,PF00089,CLI0090,2025-12-27,Drawdown Excessif,Modérée,Résolue,Résister si présenter saint long nuit preuve arme chasse avis argent.,-23.99,-2.49,2026-04-29
ALT00014,PF00019,CLI0036,2025-09-02,KYC Expiré,Haute,Ignorée,Principe croix sonner courir surtout magnifique à ah preuve élément beau masse.,20.43,-14.82,2025-08-07
ALT00015,PF00148,CLI0080,2025-11-03,Concentration Secteur,Critique,En traitement,Avenir représenter silence demi pluie dessiner chambre droite précis demeurer.,2.88,-10.55,2026-04-23
ALT00016,PF00057,CLI0070,2025-10-27,Concentration Secteur,Faible,Ouverte,Contenir ailleurs jardin simple juste premier oeuvre réunir figure parcourir printemps.,19.12,0.06,2026-03-21
ALT00017,PF00117,CLI0035,2025-03-08,Concentration Secteur,Faible,Ouverte,Idée essayer problème inutile jamais position naturel social étage oh.,-12.95,7.83,2025-11-16
ALT00018,PF00020,CLI0060,2024-05-21,Dépassement VaR,Modérée,Résolue,Parti ce naturel amener voyage couper après cheval.,28.38,7.15,2025-11-30
ALT00019,PF00013,CLI0078,2025-07-19,KYC Expiré,Faible,Ouverte,Source travailler fine lier considérer prévenir militaire.,-12.01,-3.81,2026-03-12
ALT00020,PF00103,CLI0094,2026-05-01,KYC Expiré,Critique,Ignorée,Serrer arbre feu examiner dangereux etc endroit il élément trace voile esprit douleur.,20.4,2.29,2025-09-20
ALT00021,PF00138,CLI0020,2024-06-16,Limite Exposition Dépassée,Faible,En traitement,Ouvrir marché franc obliger durant corde.,-20.57,2.49,2025-12-09
ALT00022,PF00109,CLI0004,2025-01-01,Concentration Secteur,Critique,Ignorée,Soulever presser sorte drôle tuer cela morceau simple image.,-22.37,-3.86,2025-05-18
ALT00023,PF00096,CLI0097,2026-04-19,Drawdown Excessif,Faible,Ouverte,Écraser recommencer présence nécessaire travailler musique absolument fonction foi papier avec ruine.,9.91,-4.93,2026-02-07
ALT00024,PF00104,CLI0094,2024-12-07,Dépassement VaR,Modérée,Résolue,Examiner suite gagner danger lorsque autre compagnon briller.,9.1,-7.68,2025-05-21
ALT00025,PF00114,CLI0004,2024-07-29,Instrument Suspendu,Haute,Ouverte,Pauvre reconnaître couleur bois arrière vague étoile parvenir deux.,-10.96,13.41,2025-09-06
ALT00026,PF00030,CLI0047,2024-10-04,Drawdown Excessif,Modérée,Ouverte,Ci descendre propre naissance tel expérience est.,1.3,2.55,2025-07-06
ALT00027,PF00001,CLI0067,2024-10-07,KYC Expiré,Faible,Ouverte,Côte dormir quart fort jeu yeux épaule ça trait même autour note dimanche.,-23.73,0.65,2026-03-04
ALT00028,PF00118,CLI0059,2025-03-23,Instrument Suspendu,Critique,Ignorée,Étroit exemple lieu ciel chair rester propos.,0.84,3.72,2025-11-30
ALT00029,PF00043,CLI0090,2024-09-10,Instrument Suspendu,Modérée,Ouverte,Repousser élément retirer entraîner mode foule jeunesse réclamer chiffre tenter frère public.,15.97,5.57,2026-02-17
ALT00030,PF00054,CLI0045,2024-08-24,Limite Exposition Dépassée,Critique,En traitement,Aide françois faim garçon devoir matin roi sérieux suivant dix besoin voyage.,6.05,4.07,2025-12-07
ALT00031,PF00141,CLI0093,2025-04-11,Limite Exposition Dépassée,Haute,Résolue,Chasse fixe père vue intérêt fauteuil poser ici long précis commencement ferme.,-27.52,5.43,2026-02-08
ALT00032,PF00022,CLI0015,2025-02-22,Dépassement VaR,Critique,Résolue,Immobile dehors établir main cela savoir âge paysage soleil lendemain sec.,-17.11,4.64,2025-09-01
ALT00033,PF00007,CLI0094,2026-04-16,Concentration Secteur,Critique,En traitement,Position assister présenter connaissance poche ami subir parcourir.,25.58,4.33,2025-07-25
ALT00034,PF00135,CLI0083,2024-07-24,Drawdown Excessif,Haute,En traitement,Essuyer cou situation emmener construire éloigner avouer or huit gros.,27.34,14.49,2025-12-14
ALT00035,PF00004,CLI0024,2026-04-25,Instrument Suspendu,Modérée,Ignorée,Enfoncer mensonge certainement besoin complet fortune ceci été divers épais.,-29.28,-10.53,2025-11-14
ALT00036,PF00073,CLI0039,2024-11-11,Dépassement VaR,Haute,Ouverte,Drôle liberté hauteur histoire cours présent jeunesse vert rouge mourir qualité inutile.,-10.24,8.71,2025-08-21
ALT00037,PF00033,CLI0084,2024-05-25,Concentration Secteur,Critique,Ouverte,Ministre porter écarter extraordinaire réel rapide lorsque ennemi docteur ligne.,28.51,-7.85,2026-05-15
ALT00038,PF00103,CLI0017,2025-03-30,Dépassement VaR,Haute,Résolue,Poste image maintenant atteindre devoir conversation miser donner bande ci fer.,6.17,-13.9,2026-01-10
ALT00039,PF00057,CLI0006,2025-12-23,Dépassement VaR,Faible,En traitement,Réclamer lentement mieux chercher tandis que lien absolu te françois divers hasard leur.,11.92,-0.68,2026-01-11
ALT00040,PF00042,CLI0042,2025-06-05,KYC Expiré,Modérée,Ignorée,Sept conscience voyage sentiment humide auprès lorsque cercle.,-4.43,5.12,2025-09-13
ALT00041,PF00035,CLI0045,2025-12-14,Concentration Secteur,Faible,En traitement,Camarade gens prêter rapidement général près dresser occuper livrer depuis pouvoir.,-23.02,-14.6,2026-01-08
ALT00042,PF00021,CLI0017,2025-03-06,Dépassement VaR,Faible,Résolue,Confier social arrêter bout risquer aussitôt figure gauche rapide employer perdu déchirer apercevoir.,21.34,7.22,2026-03-04
ALT00043,PF00057,CLI0056,2025-03-08,Concentration Secteur,Faible,En traitement,Retrouver certain flot écraser vieil connaître tête court source défaut même.,-28.14,-4.15,2025-06-09
