PortefeuilleID,ClientID,TypePortefeuille,DateOuverture,Devise,Statut,ObjectifInvestissement,HorizonInvestissement,BenchmarkRef
PF00001,CLI0074,Compte Titres,2026-03-06,EUR,Actif,Préservation Capital,Moyen terme (2-5 ans),Bloomberg Aggr.
PF00002,CLI0025,PER,2019-11-12,EUR,Actif,Préservation Capital,Long terme (>5 ans),CAC 40
PF00003,CLI0092,Compte Titres,2020-04-03,EUR,Actif,Croissance,Long terme (>5 ans),CAC 40
PF00004,CLI0090,PEA-PME,2024-08-13,EUR,Suspendu,Retraite,Court terme (<2 ans),Euro Stoxx 50
PF00005,CLI0050,Compte Titres,2026-01-05,EUR,Actif,Spéculatif,Moyen terme (2-5 ans),EONIA+1%
PF00006,CLI0064,Assurance Vie,2024-01-19,EUR,Actif,Croissance,Long terme (>5 ans),Euro Stoxx 50
PF00007,CLI0052,PEA,2022-01-21,EUR,Actif,Spéculatif,Court terme (<2 ans),Bloomberg Aggr.
PF00008,CLI0032,Compte Titres,2023-11-19,EUR,Actif,Retraite,Court terme (<2 ans),Bloomberg Aggr.
PF00009,CLI0019,Compte Titres,2021-10-15,EUR,Suspendu,Retraite,Moyen terme (2-5 ans),MSCI World
PF00010,CLI0084,Compte Titres,2026-03-02,EUR,Actif,Croissance,Long terme (>5 ans),EONIA+1%
PF00011,CLI0089,PEA,2023-06-11,EUR,Actif,Revenus,Moyen terme (2-5 ans),Bloomberg Aggr.
PF00012,CLI0001,PEA,2018-10-18,EUR,Clôturé,Spéculatif,Moyen terme (2-5 ans),EONIA+1%
PF00013,CLI0097,Compte Titres,2022-04-05,EUR,Actif,Préservation Capital,Moyen terme (2-5 ans),Euro Stoxx 50
PF00014,CLI0099,PEA-PME,2026-04-17,EUR,Actif,Spéculatif,Long terme (>5 ans),Bloomberg Aggr.
PF00015,CLI0014,PEA,2019-04-20,EUR,Suspendu,Retraite,Court terme (<2 ans),CAC 40
PF00016,CLI0100,PEA,2024-12-13,EUR,Actif,Retraite,Moyen terme (2-5 ans),Bloomberg Aggr.
PF00017,CLI0055,PEA,2022-04-12,EUR,Clôturé,Croissance,Moyen terme (2-5 ans),EONIA+1%
PF00018,CLI0029,PER,2021-12-12,EUR,Clôturé,Revenus,Long terme (>5 ans),Bloomberg Aggr.
PF00019,CLI0023,Compte Titres,2018-05-27,EUR,Clôturé,Préservation Capital,Long terme (>5 ans),MSCI World
PF00020,CLI0090,PEA-PME,2019-11-12,EUR,Actif,Spéculatif,Court terme (<2 ans),CAC 40
PF00021,CLI0067,PEA,2022-03-08,EUR,Actif,Revenus,Court terme (<2 ans),MSCI World
PF00022,CLI0060,PER,2021-02-06,EUR,Actif,Préservation Capital,Moyen terme (2-5 ans),Euro Stoxx 50
PF00023,CLI0007,Assurance Vie,2022-12-28,EUR,Actif,Retraite,Moyen terme (2-5 ans),Bloomberg Aggr.
PF00024,CLI0072,Assurance Vie,2025-03-16,EUR,Clôturé,Retraite,Long terme (>5 ans),Bloomberg Aggr.
PF00025,CLI0032,PEA,2021-01-15,EUR,Actif,Croissance,Moyen terme (2-5 ans),Euro Stoxx 50
PF00026,CLI0016,PEA-PME,2018-11-11,EUR,Actif,Croissance,Long terme (>5 ans),MSCI World
PF00027,CLI0059,PEA-PME,2022-11-15,EUR,Clôturé,Spéculatif,Moyen terme (2-5 ans),CAC 40
PF00028,CLI0018,Compte Titres,2024-10-16,EUR,Clôturé,Revenus,Long terme (>5 ans),MSCI World
PF00029,CLI0060,PEA,2020-03-14,EUR,Actif,Revenus,Moyen terme (2-5 ans),EONIA+1%
PF00030,CLI0086,Assurance Vie,2025-08-12,EUR,Suspendu,Préservation Capital,Moyen terme (2-5 ans),MSCI World
PF00031,CLI0068,Compte Titres,2023-02-26,EUR,Actif,Spéculatif,Moyen terme (2-5 ans),CAC 40
PF00032,CLI0072,PEA-PME,2023-12-22,EUR,Actif,Croissance,Court terme (<2 ans),Bloomberg Aggr.
PF00033,CLI0077,Compte Titres,2024-05-05,EUR,Actif,Spéculatif,Moyen terme (2-5 ans),MSCI World
PF00034,CLI0041,Assurance Vie,2022-10-18,EUR,Suspendu,Retraite,Moyen terme (2-5 ans),Euro Stoxx 50
PF00035,CLI0097,PEA-PME,2020-05-16,EUR,Actif,Croissance,Court terme (<2 ans),CAC 40
PF00036,CLI0057,PER,2024-02-25,EUR,Actif,Revenus,Court terme (<2 ans),Bloomberg Aggr.
PF00037,CLI0079,PER,2020-10-01,EUR,Actif,Croissance,Moyen terme (2-5 ans),CAC 40
PF00038,CLI0093,PEA,2018-11-26,EUR,Actif,Retraite,Long terme (>5 ans),Euro Stoxx 50
PF00039,CLI0065,Compte Titres,2018-08-18,EUR,Suspendu,Croissance,Moyen terme (2-5 ans),EONIA+1%
PF00040,CLI0055,PEA-PME,2021-02-17,EUR,Clôturé,Revenus,Long terme (>5 ans),CAC 40
PF00041,CLI0071,PEA,2022-06-14,EUR,Suspendu,Retraite,Moyen terme (2-5 ans),CAC 40
PF00042,CLI0058,Compte Titres,2023-12-10,EUR,Suspendu,Préservation Capital,Long terme (>5 ans),MSCI World
PF00043,CLI0021,Assurance Vie,2020-05-30,EUR,Suspendu,Spéculatif,Moyen terme (2-5 ans),Euro Stoxx 50
PF00044,CLI0096,PEA-PME,2021-12-06,EUR,Actif,Préservation Capital,Court terme (<2 ans),Euro Stoxx 50
PF00045,CLI0061,Compte Titres,2022-02-17,EUR,Suspendu,Retraite,Long terme (>5 ans),EONIA+1%
PF00046,CLI0058,PEA-PME,2019-05-10,EUR,Clôturé,Retraite,Moyen terme (2-5 ans),Euro Stoxx 50
PF00047,CLI0034,Compte Titres,2025-08-31,EUR,Clôturé,Retraite,Moyen terme (2-5 ans),CAC 40
PF00048,CLI0097,Assurance Vie,2018-11-12,EUR,Clôturé,Revenus,Court terme (<2 ans),EONIA+1%
PF00049,CLI0032,PEA-PME,2024-11-10,EUR,Actif,Retraite,Long terme (>5 ans),Euro Stoxx 50
PF00050,CLI0082,PER,2020-08-13,EUR,Suspendu,Spéculatif,Long terme (>5 ans),EONIA+1%
PF00051,CLI0036,Assurance Vie,2026-05-13,EUR,Clôturé,Revenus,Long terme (>5 ans),Euro Stoxx 50
PF00052,CLI0099,Compte Titres,2022-08-07,EUR,Actif,Retraite,Court terme (<2 ans),Euro Stoxx 50
PF00053,CLI0100,PEA-PME,2022-11-28,EUR,Suspendu,Revenus,Long terme (>5 ans),MSCI World
PF00054,CLI0067,Assurance Vie,2023-07-13,EUR,Suspendu,Spéculatif,Long terme (>5 ans),Euro Stoxx 50
PF00055,CLI0063,Compte Titres,2021-09-01,EUR,Actif,Spéculatif,Moyen terme (2-5 ans),EONIA+1%
PF00056,CLI0081,PER,2024-04-29,EUR,Suspendu,Revenus,Moyen terme (2-5 ans),CAC 40
PF00057,CLI0031,PER,2021-02-23,EUR,Actif,Croissance,Court terme (<2 ans),MSCI World
PF00058,CLI0036,Compte Titres,2019-10-24,EUR,Actif,Préservation Capital,Long terme (>5 ans),Euro Stoxx 50
PF00059,CLI0057,PER,2021-12-17,EUR,Actif,Retraite,Moyen terme (2-5 ans),Euro Stoxx 50
